Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-09 08:12:19.719503,114766724,46,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.40081304403182233,2550371.644444444,2926552.694378383,8541998.0,12.0,1.14766724E8,2550371.644444444,2926552.694378383,8541998.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40081304403182233,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3021321.7499999995,4388525.351068753,1.3064526E7,16.0,6542570.0,1104528.589345452,8541998.0,5072713.0,3,3,0,NeedManualLabel
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-09 08:14:20.520278,116624459,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.3772793492658345,2712196.7209302317,3143975.0575685184,9216241.0,14.0,1.16624459E8,2712196.7209302317,3143975.0575685184,9216241.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3772793492658345,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1616561.0,2239580.014328923,7104423.0,15.0,6713754.928571429,1354281.5750468792,9216241.0,5106716.0,3,3,0,NeedManualLabel
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-09 08:16:22.490969,112955826,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.3275616788460296,3137661.833333333,2925370.976720579,9980211.0,13.0,1.12955826E8,3137661.833333333,2925370.976720579,9980211.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3275616788460296,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0157469666666666E7,9172550.523209859,2.3101621E7,13.0,7430144.0,1687859.6559378586,9980211.0,5799817.0,3,3,0,NeedManualLabel
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-09 08:18:24.051600,115397814,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.1906448591825145,5495134.000000001,2201753.0205137,1.0962187E7,1098253.0,1.15397814E8,5495134.000000001,2201753.0205137,1.0962187E7,1098253.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1906448591825145,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.6247103E7,8838228.067213586,2.2496674E7,9997532.0,6908634.0,1661750.5190929342,1.0962187E7,5028383.0,3,3,0,NeedManualLabel
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-09 08:20:25.815443,115628532,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.17296768932429238,6085712.2105263155,2620365.6879753033,1.1838865E7,1431380.0,1.15628532E8,6085712.2105263155,2620365.6879753033,1.1838865E7,1431380.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17296768932429238,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3176157.2,1242483.4196188294,4383289.0,1431380.0,7370349.692307693,2020807.5596402618,1.1838865E7,5124133.0,3,3,0,NeedManualLabel
172.16.16.96-172.16.16.163-34026-30004-6,172.16.16.96,34026,172.16.16.163,30004,6,2022-09-09 08:21:58.838102,12463,5,0,351.0,0.0,351.0,0.0,70.2,156.97197202048523,0,0,0,0,28163.363556126133,401.18751504453184,3115.75,5253.819840522385,10992.0,292.0,12463.0,3115.75,5253.819840522385,10992.0,292.0,0,0,0,0,0,1,0,0,0,0,0,168,0,401.18751504453184,0.0,0.0,351.0,70.2,156.97197202048523,24640.2,1,1,0,1,4,0,0,0,0.0,70.2,70.2,0.0,0,0,0,0,0,0,1,70,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,12463,NeedManualLabel
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-09 08:27:32.171118,117905943,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.2120334171789797,4912747.625,2704636.6039953423,1.1534475E7,889818.0,1.17905943E8,4912747.625,2704636.6039953423,1.1534475E7,889818.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2120334171789797,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4283949.857142857,1709183.195721222,6606643.0,2157428.0,7299898.545454545,1934910.4831137985,1.1534475E7,5164625.0,3,3,0,NeedManualLabel
172.16.16.96-172.66.43.44-36994-443-6,172.16.16.96,36994,172.66.43.44,443,6,2022-09-09 08:13:57.565136,133114,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,4184.383310545848,105.17300960079329,10239.538461538461,10347.820822242275,28434.0,79.0,133114.0,10239.538461538461,10347.820822242275,28434.0,79.0,0,0,0,0,0,5,0,0,0,0,0,300,0,105.17300960079329,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,8700,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,-1,-1,133114,NeedManualLabel
172.16.16.96-172.66.43.44-36998-443-6,172.16.16.96,36998,172.66.43.44,443,6,2022-09-09 08:14:00.781217,5160040,15,0,592.0,0.0,289.0,0.0,39.46666666666666,76.25321226645066,0,0,0,0,114.72779280780769,2.906954209657289,368574.2857142857,1338550.2585630259,5019022.0,59.0,5160040.0,368574.2857142857,1338550.2585630259,5019022.0,59.0,0,0,0,0,0,6,0,0,0,0,0,320,0,2.906954209657289,0.0,0.0,289.0,39.46666666666666,76.25321226645066,5814.552380952382,1,1,0,6,14,0,0,0,0.0,39.46666666666667,39.46666666666667,0.0,592,6,5944,0,0,0,1,39,0,0,64240,0,6,20,120532.0,0.0,120532.0,120532.0,5019022.0,0.0,5019022.0,5019022.0,-1,-1,5160040,NeedManualLabel
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-09 08:29:33.059849,113800553,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.17574607040793555,5989502.789473684,2620433.3163535204,1.0404847E7,1250450.0,1.13800553E8,5989502.789473684,2620433.3163535204,1.0404847E7,1250450.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17574607040793555,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5223799.0,1898510.064088679,8031034.0,3955197.0,7599259.5,1614949.9368331404,1.0404847E7,5614956.0,3,3,0,NeedManualLabel
