Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-09 07:25:18.308721,118186201,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.19460816749664372,5372100.045454545,2070127.4406318327,9755393.0,2622765.0,1.18186201E8,5372100.045454545,2070127.4406318327,9755393.0,2622765.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19460816749664372,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8948042.5,7198357.395213136,1.9558001E7,4026081.0,7299684.2,1310840.2739677918,9755393.0,5776379.0,3,3,0,NeedManualLabel
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-09 07:27:19.635597,12867253,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.2331499971283692,6433626.5,2115275.287687279,7929352.0,4937901.0,1.2867253E7,6433626.5,2115275.287687279,7929352.0,4937901.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2331499971283692,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7929352.0,0.0,7929352.0,7929352.0,3,3,0,NeedManualLabel
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-09 07:32:44.606756,117500628,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.20425422747527783,5108722.956521739,1593179.5334582718,7221742.0,1914048.0,1.17500628E8,5108722.956521739,1593179.5334582718,7221742.0,1914048.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20425422747527783,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4455346.571428572,1761447.341865098,6690737.0,1914048.0,6165228.714285715,717929.6276354912,7221742.0,5174552.0,3,3,0,NeedManualLabel
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-09 07:34:48.279926,117721862,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.21236497261655612,4905077.583333333,1633855.5536744026,7543386.0,1683832.0,1.17721862E8,4905077.583333333,1633855.5536744026,7543386.0,1683832.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21236497261655612,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5729415.142857143,3044889.069239821,1.0119102E7,1683832.0,6224025.083333333,699930.6129129007,7543386.0,5322800.0,3,3,0,NeedManualLabel
172.16.16.96-172.16.16.163-58820-30006-6,172.16.16.96,58820,172.16.16.163,30006,6,2022-09-09 07:33:06.741400,4877,6,0,353.0,0.0,353.0,0.0,58.83333333333333,144.11164653374362,0,0,0,0,72380.56182079147,1230.2645068689767,975.4000000000001,1070.3995982809413,2839.0,143.0,4877.0,975.4000000000001,1070.3995982809413,2839.0,143.0,0,0,0,0,0,1,0,0,0,0,0,200,0,1230.2645068689767,0.0,0.0,353.0,58.83333333333333,144.11164653374362,20768.166666666664,1,1,0,1,5,0,0,0,0.0,58.833333333333336,58.833333333333336,0.0,0,0,0,0,0,0,1,58,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,4877,NeedManualLabel
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-09 07:36:51.215577,119027563,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.19323255404296566,5410343.7727272725,2323089.979566479,1.1414634E7,2594652.0,1.19027563E8,5410343.7727272725,2323089.979566479,1.1414634E7,2594652.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19323255404296566,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6271540.25,2170589.8391918535,8528678.0,4169126.0,6935475.749999999,2063331.9645401498,1.1414634E7,5042854.0,3,3,0,NeedManualLabel
172.16.16.96-172.16.16.163-42898-10010-6,172.16.16.96,42898,172.16.16.163,10010,6,2022-09-09 07:27:07.345901,5847,5,0,312.0,0.0,312.0,0.0,62.4,139.53064179598687,0,0,0,0,53360.69779374038,855.1393877201984,1461.75,1812.8126167183782,4150.0,311.0,5847.0,1461.75,1812.8126167183782,4150.0,311.0,0,0,0,0,0,1,0,0,0,0,0,168,0,855.1393877201984,0.0,0.0,312.0,62.4,139.53064179598687,19468.8,1,1,0,1,4,0,0,0,0.0,62.4,62.4,0.0,0,0,0,0,0,0,1,62,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,5847,NeedManualLabel
172.16.16.96-172.16.16.163-59676-30006-6,172.16.16.96,59676,172.16.16.163,30006,6,2022-09-09 07:37:33.654007,34270,6,0,549.0,0.0,549.0,0.0,91.5,224.12831146466078,0,0,0,0,16019.842427779398,175.08024511234314,6854.0,14350.205312120102,32517.0,170.0,34270.0,6854.0,14350.205312120102,32517.0,170.0,0,0,0,0,0,1,0,0,0,0,0,200,0,175.08024511234314,0.0,0.0,549.0,91.5,224.12831146466078,50233.5,1,1,0,1,5,0,0,0,0.0,91.5,91.5,0.0,0,0,0,0,0,0,1,91,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,34270,NeedManualLabel
172.16.16.96-172.16.16.163-59678-30006-6,172.16.16.96,59678,172.16.16.163,30006,6,2022-09-09 07:37:33.689368,4832,6,0,361.0,0.0,361.0,0.0,60.16666666666667,147.37763285745453,0,0,0,0,74710.26490066225,1241.7218543046356,966.4,1089.710879086742,2835.0,95.0,4832.0,966.4,1089.710879086742,2835.0,95.0,0,0,0,0,0,1,0,0,0,0,0,200,0,1241.7218543046356,0.0,0.0,361.0,60.16666666666667,147.37763285745453,21720.166666666664,1,1,0,1,5,0,0,0,0.0,60.166666666666664,60.166666666666664,0.0,0,0,0,0,0,0,1,60,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,4832,NeedManualLabel
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-09 07:38:57.623339,116610842,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.1972372345960764,5300492.818181818,1892218.2964216424,8479169.0,1590125.0,1.16610842E8,5300492.818181818,1892218.2964216424,8479169.0,1590125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1972372345960764,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5195332.571428571,2777299.5212874115,9735730.0,1770475.0,6851920.272727273,971315.4463484136,8479169.0,5314891.0,3,3,0,NeedManualLabel
