Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
172.16.16.96-172.16.16.163-45684-30005-6,172.16.16.96,45684,172.16.16.163,30005,6,2022-09-08 20:06:04.721730,15797,6,0,560.0,0.0,560.0,0.0,93.33333333333333,228.6190426597633,0,0,0,0,35449.768943470284,379.818952965753,3159.4,5801.0582913809785,13531.0,375.0,15797.0,3159.4,5801.0582913809785,13531.0,375.0,0,0,0,0,0,1,0,0,0,0,0,200,0,379.818952965753,0.0,0.0,560.0,93.33333333333333,228.6190426597633,52266.66666666667,1,1,0,1,5,0,0,0,0.0,93.33333333333333,93.33333333333333,0.0,0,0,0,0,0,0,1,93,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,15797,NeedManualLabel
172.16.16.96-172.16.16.163-38576-30005-6,172.16.16.96,38576,172.16.16.163,30005,6,2022-09-08 20:07:21.885370,14078,6,0,558.0,0.0,558.0,0.0,93.0,227.80254607883558,0,0,0,0,39636.31197613297,426.19690296917173,2815.6000000000004,4956.384902325484,11662.0,208.0,14078.0,2815.6000000000004,4956.384902325484,11662.0,208.0,0,0,0,0,0,1,0,0,0,0,0,200,0,426.19690296917173,0.0,0.0,558.0,93.0,227.80254607883558,51894.0,1,1,0,1,5,0,0,0,0.0,93.0,93.0,0.0,0,0,0,0,0,0,1,93,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,14078,NeedManualLabel
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-08 20:03:56.607896,23148624,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.4319911196449516,2572069.3333333335,3114175.6278596427,6613236.0,19.0,2.3148624E7,2572069.3333333335,3114175.6278596427,6613236.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4319911196449516,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1434228.0,2484114.196423546,4302636.0,19.0,6281970.333333333,333791.02772593114,6613236.0,5945710.0,3,3,0,NeedManualLabel
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-08 20:14:39.037687,119354822,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.2178378683351394,4774192.880000001,1494402.5269856546,8097631.0,2558334.0,1.19354822E8,4774192.880000001,1494402.5269856546,8097631.0,2558334.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2178378683351394,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9441215.0,3925421.6770626693,1.3527296E7,2892643.0,6215222.454545455,856291.3355687263,8097631.0,5186746.0,3,3,0,NeedManualLabel
172.16.16.96-172.16.16.163-47326-30005-6,172.16.16.96,47326,172.16.16.163,30005,6,2022-09-08 20:08:45.620774,10568,6,0,561.0,0.0,561.0,0.0,93.5,229.02729095022715,0,0,0,0,53084.784254352766,567.7517032551098,2113.6,3827.1333005266492,8952.0,259.0,10568.0,2113.6,3827.1333005266492,8952.0,259.0,0,0,0,0,0,1,0,0,0,0,0,200,0,567.7517032551098,0.0,0.0,561.0,93.5,229.02729095022715,52453.5,1,1,0,1,5,0,0,0,0.0,93.5,93.5,0.0,0,0,0,0,0,0,1,93,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,10568,NeedManualLabel
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-08 20:16:42.274944,114294186,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.22748313724374397,4571767.4399999995,2076082.4433504979,9064011.0,927701.0,1.14294186E8,4571767.4399999995,2076082.4433504979,9064011.0,927701.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22748313724374397,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4803870.0,5054173.407219886,1.5045892E7,927701.0,6334026.583333333,1191970.295202669,9064011.0,5147607.0,3,3,0,NeedManualLabel
172.16.16.96-172.16.16.163-51028-30005-6,172.16.16.96,51028,172.16.16.163,30005,6,2022-09-08 20:19:12.649517,13588,6,0,572.0,0.0,572.0,0.0,95.33333333333334,233.51802214532967,0,0,0,0,42095.96702973212,441.56608772446276,2717.5999999999995,4954.4709909333405,11565.0,269.0,13588.0,2717.5999999999995,4954.4709909333405,11565.0,269.0,0,0,0,0,0,1,0,0,0,0,0,200,0,441.56608772446276,0.0,0.0,572.0,95.33333333333334,233.51802214532967,54530.66666666667,1,1,0,1,5,0,0,0,0.0,95.33333333333333,95.33333333333333,0.0,0,0,0,0,0,0,1,95,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,13588,NeedManualLabel
172.16.16.96-172.16.16.163-53164-30005-6,172.16.16.96,53164,172.16.16.163,30005,6,2022-09-08 20:12:20.955102,10931,6,0,572.0,0.0,572.0,0.0,95.33333333333334,233.51802214532967,0,0,0,0,52328.240783093956,548.8976305918947,2186.2,3809.7306597711076,8975.0,131.0,10931.0,2186.2,3809.7306597711076,8975.0,131.0,0,0,0,0,0,1,0,0,0,0,0,200,0,548.8976305918947,0.0,0.0,572.0,95.33333333333334,233.51802214532967,54530.66666666667,1,1,0,1,5,0,0,0,0.0,95.33333333333333,95.33333333333333,0.0,0,0,0,0,0,0,1,95,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,10931,NeedManualLabel
172.16.16.96-172.16.16.1-55114-53-17,172.16.16.96,55114,172.16.16.1,53,17,2022-09-08 20:04:19.750966,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NeedManualLabel
172.16.16.96-172.16.16.163-54816-30005-6,172.16.16.96,54816,172.16.16.163,30005,6,2022-09-08 20:19:55.643178,14526,6,0,572.0,0.0,572.0,0.0,95.33333333333334,233.51802214532967,0,0,0,0,39377.66763045573,413.05245766212306,2905.2,5025.92913798036,11872.0,255.0,14526.0,2905.2,5025.92913798036,11872.0,255.0,0,0,0,0,0,1,0,0,0,0,0,200,0,413.05245766212306,0.0,0.0,572.0,95.33333333333334,233.51802214532967,54530.66666666667,1,1,0,1,5,0,0,0,0.0,95.33333333333333,95.33333333333333,0.0,0,0,0,0,0,0,1,95,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,14526,NeedManualLabel
