Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-08 11:12:37.912738,118574806,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.2698718309520152,3824993.7419354846,1988790.5255692797,7406339.0,89980.0,1.18574806E8,3824993.7419354846,1988790.5255692797,7406339.0,89980.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2698718309520152,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8278844.857142857,4069341.8846834204,1.4116459E7,2231456.0,6062289.2,766848.5446063286,7406339.0,5239566.0,3,3,0,NeedManualLabel
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-08 11:14:40.706740,115214400,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.23434570678665168,4431323.076923079,1877667.2384765716,8030807.0,1137705.0,1.152144E8,4431323.076923079,1877667.2384765716,8030807.0,1137705.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23434570678665168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7718684.666666667,7447007.794005392,2.1101472E7,1137705.0,6455464.300000001,913498.6060853016,8030807.0,5084328.0,3,3,0,NeedManualLabel
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-08 11:16:42.326339,119858930,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.2336079589564165,4439219.629629631,1762773.4644205756,8078829.0,1435561.0,1.1985893E8,4439219.629629631,1762773.4644205756,8078829.0,1435561.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2336079589564165,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.01814358E7,4240371.320563943,1.569819E7,4350569.0,6205119.6,994635.327521175,8078829.0,5131576.0,3,3,0,NeedManualLabel
172.16.16.96-172.16.16.163-46406-30002-6,172.16.16.96,46406,172.16.16.163,30002,6,2022-09-08 11:14:55.039164,2695,5,0,423.0,0.0,423.0,0.0,84.6,189.1713508964822,0,0,0,0,156957.32838589983,1855.287569573284,673.75,405.78103701380627,1123.0,245.0,2695.0,673.75,405.78103701380627,1123.0,245.0,0,0,0,0,0,1,0,0,0,0,0,168,0,1855.287569573284,0.0,0.0,423.0,84.6,189.1713508964822,35785.8,1,1,0,1,4,0,0,0,0.0,84.6,84.6,0.0,0,0,0,0,0,0,1,84,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,2695,NeedManualLabel
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-08 11:18:45.522765,118562937,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.23616149117493604,4391219.888888889,2156334.5881780735,7491508.0,184385.0,1.18562937E8,4391219.888888889,2156334.5881780735,7491508.0,184385.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23616149117493604,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7081198.0,6948598.9391974555,1.7015366E7,184385.0,6339645.75,830338.6631715263,7491508.0,5027760.0,3,3,0,NeedManualLabel
172.16.16.96-172.16.16.1-36831-53-17,172.16.16.96,36831,172.16.16.1,53,17,2022-09-08 11:15:23.706668,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NeedManualLabel
172.16.16.96-172.16.16.163-46412-30002-6,172.16.16.96,46412,172.16.16.163,30002,6,2022-09-08 11:14:58.569470,2727,5,0,431.0,0.0,431.0,0.0,86.2,192.74905966048186,0,0,0,0,158049.13824715806,1833.5166850018336,681.75,386.46722586354804,1247.0,387.0,2727.0,681.75,386.46722586354804,1247.0,387.0,0,0,0,0,0,1,0,0,0,0,0,168,0,1833.5166850018336,0.0,0.0,431.0,86.2,192.74905966048186,37152.2,1,1,0,1,4,0,0,0,0.0,86.2,86.2,0.0,0,0,0,0,0,0,1,86,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,2727,NeedManualLabel
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-08 11:20:52.113262,118708002,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.21902483035642367,4748320.079999999,1945769.568029252,8808924.0,858780.0,1.18708002E8,4748320.079999999,1945769.568029252,8808924.0,858780.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21902483035642367,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7816552.5,7371010.054560358,2.2413752E7,3459773.0,6528062.454545455,982283.2663615281,8808924.0,5024656.0,3,3,0,NeedManualLabel
172.16.16.96-172.16.16.1-50326-53-17,172.16.16.96,50326,172.16.16.1,53,17,2022-09-08 11:12:50.316209,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NeedManualLabel
172.16.16.96-172.16.16.1-37566-53-17,172.16.16.96,37566,172.16.16.1,53,17,2022-09-08 11:20:02.131633,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NeedManualLabel
