Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,LABEL-I,LABEL-II,LABEL-III
192.168.1.104-192.168.1.1-0-0-1,192.168.1.104,0,192.168.1.1,0,1,2022-09-12 18:50:30.166341,119676114,50,0,0,0,0,0,0,0,0,0,0,0,0,0.417794314410978,2442369.67346939,2799578.70694852,8160540,19,119676114,2442369.67346939,2799578.70694852,8160540,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417794314410978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4452096.7,5908002.16223591,16230306,35,6707005.3,1017685.50397524,8160540,5093048,3,3,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.1-0-0-1,192.168.1.104,0,192.168.1.1,0,1,2022-09-12 18:52:33.936671,118172430,27,0,0,0,0,0,0,0,0,0,0,0,0,0.228479688536489,4545093.46153846,1712948.11219696,7584355,1028385,118172430,4545093.46153846,1712948.11219696,7584355,1028385,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228479688536489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11216364.8,9809410.03698906,28238389,3947743,6209060.6,796168.544519619,7584355,5072138,3,3,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.1-0-0-1,192.168.1.104,0,192.168.1.1,0,1,2022-09-12 18:54:35.544149,116746229,32,0,0,0,0,0,0,0,0,0,0,0,0,0.274098789092365,3766007.38709677,1461271.61316934,6205981,1176729,116746229,3766007.38709677,1461271.61316934,6205981,1176729,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274098789092365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10409345.8333333,6870501.61205312,23952100,5806740,5729091.75,312054.481976992,6205981,5307098,3,3,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.1-0-0-1,192.168.1.104,0,192.168.1.1,0,1,2022-09-12 18:56:37.826253,119462937,26,0,0,0,0,0,0,0,0,0,0,0,0,0.217640723164206,4778517.48,1520586.97374756,7236684,822392,119462937,4778517.48,1520586.97374756,7236684,822392,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217640723164206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17432623.6666667,9381360.43992087,27663630,9234134,6105915.09090909,763815.500748375,7236684,5078792,3,3,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.102-51128-30007-6,192.168.1.104,51128,192.168.1.102,30007,6,2022-09-12 18:50:53.361960,39450,5,0,1004,0,1004,0,200.8,449.002449881958,0,0,0,0,25449.9366286439,126.742712294043,9862.5,18216.3842094601,37184,379,39450,9862.5,18216.3842094601,37184,379,0,0,0,0,0,1,0,0,0,0,0,168,0,126.742712294043,0,0,1004,200.8,449.002449881958,201603.2,1,1,0,1,4,0,0,0,0,200.8,200.8,0,0,0,0,0,0,0,1,200,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,39450,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
192.168.1.104-192.168.1.102-51132-30007-6,192.168.1.104,51132,192.168.1.102,30007,6,2022-09-12 18:51:00.370115,36071,5,0,1004,0,1004,0,200.8,449.002449881958,0,0,0,0,27833.9940672562,138.615508303069,9017.75,17077.2706713729,34633,310,36071,9017.75,17077.2706713729,34633,310,0,0,0,0,0,1,0,0,0,0,0,168,0,138.615508303069,0,0,1004,200.8,449.002449881958,201603.2,1,1,0,1,4,0,0,0,0,200.8,200.8,0,0,0,0,0,0,0,1,200,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,36071,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
192.168.1.104-192.168.1.1-0-0-1,192.168.1.104,0,192.168.1.1,0,1,2022-09-12 18:58:41.280322,119379572,27,0,0,0,0,0,0,0,0,0,0,0,0,0.226169348303577,4591522,1532204.77566915,8095737,1623682,119379572,4591522,1532204.77566915,8095737,1623682,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226169348303577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9113701.16666667,4605280.37745753,14813028,3446612,6272259.22222222,1070689.29349564,8095737,5005567,3,3,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.1-0-0-1,192.168.1.104,0,192.168.1.1,0,1,2022-09-12 19:00:46.555830,118013225,24,0,0,0,0,0,0,0,0,0,0,0,0,0.203367037889186,5131009.78260869,1536691.34180181,7838139,2170640,118013225,5131009.78260869,1536691.34180181,7838139,2170640,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203367037889186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8122242.75,4824960.01135183,12289539,2598995,6209011.76923077,904257.937482733,7838139,5101803,3,3,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.1-0-0-1,192.168.1.104,0,192.168.1.1,0,1,2022-09-12 19:02:52.386774,118004793,25,0,0,0,0,0,0,0,0,0,0,0,0,0.211855801484267,4916866.375,1343509.56884399,7200016,2497334,118004793,4916866.375,1343509.56884399,7200016,2497334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211855801484267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7190091.28571429,3097764.35595639,11765570,3749248,6152195.81818182,591594.812387299,7200016,5306602,3,3,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.1-0-0-1,192.168.1.104,0,192.168.1.1,0,1,2022-09-12 19:04:56.636579,116133354,30,0,0,0,0,0,0,0,0,0,0,0,0,0.2583237198161,4004598.4137931,1537553.97130397,7607871,798227,116133354,4004598.4137931,1537553.97130397,7607871,798227,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2583237198161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10528558.2,7025025.90879092,19809857,3497293,5710425.8,789064.651277954,7607871,5032857,3,3,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.102-57266-30007-6,192.168.1.104,57266,192.168.1.102,30007,6,2022-09-12 19:07:52.997529,56321,5,0,1394,0,1394,0,278.8,623.415752126941,0,0,0,0,24750.9809840024,88.7768327977131,14080.25,27320.7207978975,55061,284,56321,14080.25,27320.7207978975,55061,284,0,0,0,0,0,1,0,0,0,0,0,168,0,88.7768327977131,0,0,1394,278.8,623.415752126941,388647.2,1,1,0,1,4,0,0,0,0,278.8,278.8,0,0,0,0,0,0,0,1,278,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,56321,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
192.168.1.104-192.168.1.102-57270-30007-6,192.168.1.104,57270,192.168.1.102,30007,6,2022-09-12 19:07:58.113071,48279,6,0,2224,0,2224,0,370.666666666667,907.944197991631,0,0,0,0,46065.5771660556,124.277636239359,9655.8,20891.9604321854,47028,131,48279,9655.8,20891.9604321854,47028,131,0,0,0,0,0,1,0,0,0,0,0,200,0,124.277636239359,0,0,2224,370.666666666667,907.944197991631,824362.666666667,1,1,0,1,5,0,0,0,0,370.666666666667,370.666666666667,0,0,0,0,0,0,0,1,370,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,48279,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
192.168.1.104-192.168.1.102-38902-30007-6,192.168.1.104,38902,192.168.1.102,30007,6,2022-09-12 18:51:05.151461,47822,5,0,2219,0,2219,0,443.8,992.366968414407,0,0,0,0,46401.237923968,104.554389193258,11955.5,23177.7965662542,46722,290,47822,11955.5,23177.7965662542,46722,290,0,0,0,0,0,1,0,0,0,0,0,168,0,104.554389193258,0,0,2219,443.8,992.366968414407,984792.2,1,1,0,1,4,0,0,0,0,443.8,443.8,0,0,0,0,0,0,0,1,443,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,47822,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
192.168.1.104-192.168.1.102-38906-30007-6,192.168.1.104,38906,192.168.1.102,30007,6,2022-09-12 18:51:09.505464,38352,5,0,1389,0,1389,0,277.8,621.179684149442,0,0,0,0,36217.1464330413,130.371297455152,9588,16652.6277205731,34515,474,38352,9588,16652.6277205731,34515,474,0,0,0,0,0,1,0,0,0,0,0,168,0,130.371297455152,0,0,1389,277.8,621.179684149442,385864.2,1,1,0,1,4,0,0,0,0,277.8,277.8,0,0,0,0,0,0,0,1,277,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,38352,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
192.168.1.104-192.168.1.1-0-0-1,192.168.1.104,0,192.168.1.1,0,1,2022-09-12 19:06:57.573027,33900369,7,0,0,0,0,0,0,0,0,0,0,0,0,0.206487427909708,5650061.5,1587058.80216024,6877361,3632690,33900369,5650061.5,1587058.80216024,6877361,3632690,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206487427909708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3635343,3751.90858097582,3637996,3632690,6657420.75,372599.97675199,6877361,6102664,3,3,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.1-0-0-1,192.168.1.104,0,192.168.1.1,0,1,2022-09-12 19:12:40.638445,115276783,54,0,0,0,0,0,0,0,0,0,0,0,0,0.468437777275585,2175033.64150943,2624231.52190393,8228180,16,115276783,2175033.64150943,2624231.52190393,8228180,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468437777275585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7523988.5,10662901.2986692,32791201,18,6885606.625,1051896.45569771,8228180,5097232,3,3,0,NORMAL,NORMAL,Normal Traffic
