Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-07 19:35:50.540607,119723163,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.21716766704534862,4788926.5200000005,2372039.315471554,8973399.0,670785.0,1.19723163E8,4788926.5200000005,2372039.315471554,8973399.0,670785.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21716766704534862,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5428732.857142857,2654803.5406541494,9654747.0,2294499.0,7241492.8,1361685.5706854076,8973399.0,5007064.0,3,3,0,NeedManualLabel
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-07 19:37:54.585421,119921512,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.17511453658122655,5996075.600000001,1951443.058072785,1.1251468E7,2987969.0,1.19921512E8,5996075.600000001,1951443.058072785,1.1251468E7,2987969.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17511453658122655,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5988380.0,2420493.6781406803,7903635.0,3267903.0,6797091.466666668,1526488.601116669,1.1251468E7,5273905.0,3,3,0,NeedManualLabel
172.16.16.96-172.16.16.163-45178-30002-6,172.16.16.96,45178,172.16.16.163,30002,6,2022-09-07 19:40:30.215157,2893,5,0,466.0,0.0,466.0,0.0,93.2,208.4015355029804,0,0,0,0,161078.46526097474,1728.3097131005875,723.25,394.61827546799367,1259.0,348.0,2893.0,723.25,394.61827546799367,1259.0,348.0,0,0,0,0,0,1,0,0,0,0,0,168,0,1728.3097131005875,0.0,0.0,466.0,93.2,208.4015355029804,43431.200000000004,1,1,0,1,4,0,0,0,0.0,93.2,93.2,0.0,0,0,0,0,0,0,1,93,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,2893,NeedManualLabel
172.16.16.96-172.16.16.163-45180-30002-6,172.16.16.96,45180,172.16.16.163,30002,6,2022-09-07 19:40:30.224382,3415,5,0,445.0,0.0,445.0,0.0,89.0,199.0100499974813,0,0,0,0,130307.46705710102,1464.1288433382138,853.75,439.36270134517946,1415.0,360.0,3415.0,853.75,439.36270134517946,1415.0,360.0,0,0,0,0,0,1,0,0,0,0,0,168,0,1464.1288433382138,0.0,0.0,445.0,89.0,199.0100499974813,39605.00000000001,1,1,0,1,4,0,0,0,0.0,89.0,89.0,0.0,0,0,0,0,0,0,1,89,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,3415,NeedManualLabel
172.16.16.96-172.16.16.163-45184-30002-6,172.16.16.96,45184,172.16.16.163,30002,6,2022-09-07 19:40:37.745777,2167,5,0,434.0,0.0,434.0,0.0,86.8,194.09070044698174,0,0,0,0,200276.88047992616,2307.3373327180434,541.75,198.5554078840463,753.0,282.0,2167.0,541.75,198.5554078840463,753.0,282.0,0,0,0,0,0,1,0,0,0,0,0,168,0,2307.3373327180434,0.0,0.0,434.0,86.8,194.09070044698174,37671.2,1,1,0,1,4,0,0,0,0.0,86.8,86.8,0.0,0,0,0,0,0,0,1,86,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,2167,NeedManualLabel
172.16.16.96-172.16.16.163-45186-30002-6,172.16.16.96,45186,172.16.16.163,30002,6,2022-09-07 19:40:37.752288,2111,5,0,424.0,0.0,424.0,0.0,84.8,189.61856449198217,0,0,0,0,200852.6764566556,2368.5457129322594,527.75,318.6015013565797,858.0,242.0,2111.0,527.75,318.6015013565797,858.0,242.0,0,0,0,0,0,1,0,0,0,0,0,168,0,2368.5457129322594,0.0,0.0,424.0,84.8,189.61856449198217,35955.2,1,1,0,1,4,0,0,0,0.0,84.8,84.8,0.0,0,0,0,0,0,0,1,84,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,2111,NeedManualLabel
172.16.16.96-172.16.16.163-46462-30002-6,172.16.16.96,46462,172.16.16.163,30002,6,2022-09-07 19:36:08.393215,4155,5,0,435.0,0.0,435.0,0.0,87.0,194.5379140424817,0,0,0,0,104693.14079422383,1203.369434416366,1038.75,916.1118472471943,2380.0,426.0,4155.0,1038.75,916.1118472471943,2380.0,426.0,0,0,0,0,0,1,0,0,0,0,0,168,0,1203.369434416366,0.0,0.0,435.0,87.0,194.5379140424817,37845.0,1,1,0,1,4,0,0,0,0.0,87.0,87.0,0.0,0,0,0,0,0,0,1,87,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,4155,NeedManualLabel
172.16.16.96-172.16.16.163-46464-30002-6,172.16.16.96,46464,172.16.16.163,30002,6,2022-09-07 19:36:08.399448,2419,5,0,438.0,0.0,438.0,0.0,87.6,195.87955482898158,0,0,0,0,181066.55642827615,2066.969822240595,604.75,319.0959886930577,1034.0,296.0,2419.0,604.75,319.0959886930577,1034.0,296.0,0,0,0,0,0,1,0,0,0,0,0,168,0,2066.969822240595,0.0,0.0,438.0,87.6,195.87955482898158,38368.8,1,1,0,1,4,0,0,0,0.0,87.6,87.6,0.0,0,0,0,0,0,0,1,87,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,2419,NeedManualLabel
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-07 19:39:57.640037,52257777,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.21049498527271837,5225777.7,1510399.381262677,7127461.0,2037065.0,5.2257777E7,5225777.7,1510399.381262677,7127461.0,2037065.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21049498527271837,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5088138.666666667,1583274.0567110714,6851537.0,3788616.0,6165560.166666667,702608.7619844821,7127461.0,5574312.0,3,3,0,NeedManualLabel
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-07 19:51:03.594507,115678805,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.22476027479709876,4627152.2,1534724.9957007498,7034017.0,1904652.0,1.15678805E8,4627152.2,1534724.9957007498,7034017.0,1904652.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22476027479709876,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9792603.0,5739499.380873518,1.8802415E7,4699973.0,6065071.818181818,688043.9509045652,7034017.0,5017113.0,3,3,0,NeedManualLabel
172.16.16.96-172.16.16.163-57164-30002-6,172.16.16.96,57164,172.16.16.163,30002,6,2022-09-07 19:37:00.101588,2054,5,0,441.0,0.0,441.0,0.0,88.2,197.22119561548143,0,0,0,0,214703.01850048688,2434.2745861733206,513.5,215.74444759174375,810.0,304.0,2054.0,513.5,215.74444759174375,810.0,304.0,0,0,0,0,0,1,0,0,0,0,0,168,0,2434.2745861733206,0.0,0.0,441.0,88.2,197.22119561548143,38896.2,1,1,0,1,4,0,0,0,0.0,88.2,88.2,0.0,0,0,0,0,0,0,1,88,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,2054,NeedManualLabel
172.16.16.96-172.16.16.163-57170-30002-6,172.16.16.96,57170,172.16.16.163,30002,6,2022-09-07 19:37:05.425831,2428,5,0,442.0,0.0,442.0,0.0,88.4,197.66840921098142,0,0,0,0,182042.83360790773,2059.308072487644,607.0,213.04772548265643,867.0,347.0,2428.0,607.0,213.04772548265643,867.0,347.0,0,0,0,0,0,1,0,0,0,0,0,168,0,2059.308072487644,0.0,0.0,442.0,88.4,197.66840921098142,39072.8,1,1,0,1,4,0,0,0,0.0,88.4,88.4,0.0,0,0,0,0,0,0,1,88,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,2428,NeedManualLabel
172.16.16.96-172.16.16.163-58318-30002-6,172.16.16.96,58318,172.16.16.163,30002,6,2022-09-07 19:51:40.104353,2304,5,0,419.0,0.0,419.0,0.0,83.8,187.38249651448237,0,0,0,0,181857.63888888888,2170.1388888888887,576.0,219.59508191214118,837.0,342.0,2304.0,576.0,219.59508191214118,837.0,342.0,0,0,0,0,0,1,0,0,0,0,0,168,0,2170.1388888888887,0.0,0.0,419.0,83.8,187.38249651448237,35112.2,1,1,0,1,4,0,0,0,0.0,83.8,83.8,0.0,0,0,0,0,0,0,1,83,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,2304,NeedManualLabel
172.16.16.96-172.16.16.1-0-0-1,172.16.16.96,0,172.16.16.1,0,1,2022-09-07 19:53:06.384872,115904433,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.25883393088166007,3996704.5862068967,1696215.767788645,7172169.0,853142.0,1.15904433E8,3996704.5862068967,1696215.767788645,7172169.0,853142.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25883393088166007,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8103301.714285714,7938927.8865764085,2.508741E7,3735229.0,5918132.1,612305.5692543372,7172169.0,5114794.0,3,3,0,NeedManualLabel
172.16.16.96-172.16.16.1-51731-53-17,172.16.16.96,51731,172.16.16.1,53,17,2022-09-07 19:35:58.221949,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NeedManualLabel
172.16.16.96-172.16.16.163-46456-30002-6,172.16.16.96,46456,172.16.16.163,30002,6,2022-09-07 19:36:03.238685,2015,5,0,443.0,0.0,443.0,0.0,88.6,198.11562280648138,0,0,0,0,219851.11662531018,2481.389578163772,503.75,241.00812572746725,731.0,290.0,2015.0,503.75,241.00812572746725,731.0,290.0,0,0,0,0,0,1,0,0,0,0,0,168,0,2481.389578163772,0.0,0.0,443.0,88.6,198.11562280648138,39249.8,1,1,0,1,4,0,0,0,0.0,88.6,88.6,0.0,0,0,0,0,0,0,1,88,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,2015,NeedManualLabel
172.16.16.96-172.16.16.163-52534-30002-6,172.16.16.96,52534,172.16.16.163,30002,6,2022-09-07 19:37:54.764289,3266,5,0,434.0,0.0,434.0,0.0,86.8,194.09070044698174,0,0,0,0,132884.26209430496,1530.9246785058176,816.5,438.2803516776296,1256.0,331.0,3266.0,816.5,438.2803516776296,1256.0,331.0,0,0,0,0,0,1,0,0,0,0,0,168,0,1530.9246785058176,0.0,0.0,434.0,86.8,194.09070044698174,37671.2,1,1,0,1,4,0,0,0,0.0,86.8,86.8,0.0,0,0,0,0,0,0,1,86,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,3266,NeedManualLabel
172.16.16.96-172.16.16.163-54526-30002-6,172.16.16.96,54526,172.16.16.163,30002,6,2022-09-07 19:43:46.083069,1316,5,0,434.0,0.0,434.0,0.0,86.8,194.09070044698174,0,0,0,0,329787.23404255323,3799.392097264438,329.0,68.12243878977519,425.0,274.0,1316.0,329.0,68.12243878977519,425.0,274.0,0,0,0,0,0,1,0,0,0,0,0,168,0,3799.392097264438,0.0,0.0,434.0,86.8,194.09070044698174,37671.2,1,1,0,1,4,0,0,0,0.0,86.8,86.8,0.0,0,0,0,0,0,0,1,86,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,1316,NeedManualLabel
172.16.16.96-172.16.16.163-48996-30002-6,172.16.16.96,48996,172.16.16.163,30002,6,2022-09-07 19:44:26.129737,1433,5,0,443.0,0.0,443.0,0.0,88.6,198.11562280648138,0,0,0,0,309141.66085136076,3489.1835310537335,358.25,162.24338712769364,575.0,188.0,1433.0,358.25,162.24338712769364,575.0,188.0,0,0,0,0,0,1,0,0,0,0,0,168,0,3489.1835310537335,0.0,0.0,443.0,88.6,198.11562280648138,39249.8,1,1,0,1,4,0,0,0,0.0,88.6,88.6,0.0,0,0,0,0,0,0,1,88,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,1433,NeedManualLabel
