Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,LABEL-I,LABEL-II,LABEL-III
192.168.1.104-192.168.1.1-0-0-1,192.168.1.104,0,192.168.1.1,0,1,2022-09-12 17:49:28.486790,114726260,53,0,0,0,0,0,0,0,0,0,0,0,0,0.46196921262839,2206274.23076923,2601276.92497376,7692631,18,114726260,2206274.23076923,2601276.92497376,7692631,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46196921262839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5228878.44444444,5836285.21669975,15024134,187,6342938.5,882560.937442503,7692631,5281352,3,3,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.1-0-0-1,192.168.1.104,0,192.168.1.1,0,1,2022-09-12 17:51:29.310340,113544473,50,0,0,0,0,0,0,0,0,0,0,0,0,0.440356088490542,2317234.14285714,2708997.55407249,8177667,14,113544473,2317234.14285714,2708997.55407249,8177667,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440356088490542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3564946.90909091,3836029.79436689,11410645,18,6420061,837838.696241586,8177667,5189078,3,3,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.1-0-0-1,192.168.1.104,0,192.168.1.1,0,1,2022-09-12 17:53:29.312311,116967479,41,0,0,0,0,0,0,0,0,0,0,0,0,0.350524781336871,2924186.975,2572196.39629468,8182937,21,116967479,2924186.975,2572196.39629468,8182937,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350524781336871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7836861.85714286,7517180.55720701,21661466,274,6361592.77777778,1086665.67899812,8182937,5191151,3,3,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.1-0-0-1,192.168.1.104,0,192.168.1.1,0,1,2022-09-12 17:55:31.849389,116386561,27,0,0,0,0,0,0,0,0,0,0,0,0,0.231985546853644,4476406.19230769,1650306.74788344,7466321,959170,116386561,4476406.19230769,1650306.74788344,7466321,959170,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231985546853644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7550188,4355675.01125137,13171456,2576798,6069989.81818182,858199.398601609,7466321,5010557,3,3,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.1-0-0-1,192.168.1.104,0,192.168.1.1,0,1,2022-09-12 17:57:32.677549,114302061,27,0,0,0,0,0,0,0,0,0,0,0,0,0.236216213109228,4396233.11538462,1489792.56493941,7456788,1779984,114302061,4396233.11538462,1489792.56493941,7456788,1779984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236216213109228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5599055,3448477.36794973,11470862,2765555,6017602.66666667,918088.939937466,7456788,5017330,3,3,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.1-0-0-1,192.168.1.104,0,192.168.1.1,0,1,2022-09-12 17:59:32.960067,117141269,53,0,0,0,0,0,0,0,0,0,0,0,0,0.452445158332714,2252716.71153846,2581368.44530123,8065583,17,117141269,2252716.71153846,2581368.44530123,8065583,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452445158332714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8343227.71428571,11655361.8597759,25797133,114,6930583.42857143,1036715.749608,8065583,5359094,3,3,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.1-48984-53-17,192.168.1.104,48984,192.168.1.1,53,17,2022-09-12 17:52:01.955530,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.1-0-0-1,192.168.1.104,0,192.168.1.1,0,1,2022-09-12 18:01:36.305494,119112533,62,0,0,0,0,0,0,0,0,0,0,0,0,0.52051617439787,1952664.47540984,2289317.74707586,7548231,19,119112533,1952664.47540984,2289317.74707586,7548231,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52051617439787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10781744.8571429,8926148.3599382,26953289,934,6234328.57142857,940458.82368109,7548231,5071144,3,3,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.1-45972-53-17,192.168.1.104,45972,192.168.1.1,53,17,2022-09-12 17:58:29.456155,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NORMAL,NORMAL,Normal Traffic
192.168.1.104-192.168.1.1-47138-53-17,192.168.1.104,47138,192.168.1.1,53,17,2022-09-12 17:54:44.859650,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NORMAL,NORMAL,Normal Traffic
